Código Centro,Tipo Centro,Nombre Centro,Público/Privado,Dirección,Código Postal,Municipio,Provincia,Distancia (Km),Duración
18700232,Instituto de Educación Secundaria,Alba Longa,Público,"C/ San Miguel, s/n",18100,Armilla,Granada,"1,2 km",4 min
18002243,Instituto de Educación Secundaria,Federico García Lorca,Público,"C/ San Ramón, 10",18194,Churriana de la Vega,Granada,"1,8 km",5 min
18000787,Instituto de Educación Secundaria,Luis Bueno Crespo,Público,"Avda. de Las Palmeras, s/n",18100,Armilla,Granada,"3,0 km",7 min
18009195,Instituto de Educación Secundaria,Mariana Pineda,Público,"C/ Beethoven, 4",18006,Granada,Granada,"2,7 km",7 min
18010185,Instituto de Educación Secundaria,Alhambra,Público,"C/ Beethoven, 2",18006,Granada,Granada,"2,9 km",7 min
18009249,Instituto de Educación Secundaria,Severo Ochoa,Público,"Avda. de las Alpujarras, 31",18015,Granada,Granada,"5,9 km",8 min
18010446,Instituto de Educación Secundaria,Generalife,Público,"C/ Huerta del Rasillo, s/n",18003,Granada,Granada,"4,9 km",8 min
18700013,Instituto de Educación Secundaria,Fray Luis de Granada,Público,"C/ Huerta del Rasillo, s/n",18004,Granada,Granada,"4,9 km",8 min
18700542,Instituto de Educación Secundaria,Veleta,Público,"C/ Alhendin, 7",18007,Granada,Granada,"3,8 km",9 min
18004276,Instituto de Educación Secundaria,Ángel Ganivet,Público,"C/ Santa Bárbara, 15",18001,Granada,Granada,"5,6 km",11 min
18004291,Instituto de Educación Secundaria,Padre Manjón,Público,"C/ Gonzalo Gallas, s/n",18003,Granada,Granada,"5,7 km",11 min
18700037,Instituto de Educación Secundaria,Pedro Soto de Rojas,Público,"C/ Torre de los Picos, 2",18008,Granada,Granada,"5,1 km",11 min
18700098,Instituto de Educación Secundaria,Zaidín-Vergeles,Público,"C/ Primavera, 26-28",18008,Granada,Granada,"4,6 km",11 min
18004264,Instituto de Educación Secundaria,Padre Suárez,Público,"C/ Gran Vía de Colón, 61",18001,Granada,Granada,"5,9 km",12 min
18009201,Instituto de Educación Secundaria,Los Neveros,Público,"C/ Alhucema, 3",18198,Huétor Vega,Granada,"6,7 km",12 min
