Curso;codigo;X_DENGEN;D_DENOMINA;D_ESPECIFICA;D_TIPO;D_DOMICILIO;D_LOCALIDAD;cod_municipio;D_MUNICIPIO;D_PROVINCIA;C_POSTAL;N_TELEFONO;correo_e;N_LATITUD;N_LONGITUD;N_COUTMX;N_COUTMY;Infantil_2_ciclo;Primaria;ESO;Bachillerato;CCFF_Grado_Básico;CCFF_Grado_Medio;CCFF_Grado_Superior;Cur_Especialización_FP_Grado_Superior
22;04000021;12;Colegio de Educación Infantil y Primaria;Antonio Relaño;Público;C/ Balsillas, 36;Abrucena;04002;Abrucena;Almería;04520;950359902;04000021.edu@juntadeandalucia.es;37,134474010667084;-2,793031807236048;518382,7461;4109810,223;BIL ING;BIL ING;;;;;;
22;04000080;12;Colegio de Educación Infantil y Primaria;San Fernando;Público;C/ Tarrasa, 20;Adra;04003;Adra;Almería;04770;950579877;04000080.edu@juntadeandalucia.es;36,74771782062413;-3,0174314975738525;498443,9048;4066886,625;BIL ING;BIL ING;;;;;;
22;04000110;34;Instituto de Educación Secundaria;Abdera;Público;C/ Marisma, 6;Adra;04003;Adra;Almería;04770;950400711;04000110.edu@juntadeandalucia.es;36,74694128175689;-3,024834378529704;497783,0335;4066800,631;;;BIL ING;;;;;
22;04000134;34;Instituto de Educación Secundaria;Gaviota;Público;C/ Estero, 4;Adra;04003;Adra;Almería;04770;950579614;04000134.edu@juntadeandalucia.es;36,746195563608;-3,025990604138542;497679,7947;4066717,937;;;BIL ING;;;;BIL ING;
22;04000146;20;Centro Docente Privado;Ciudad de Almería;Privado;C/ Padre Méndez, 46;Almería;04013;Almería;Almería;04006;950269814;ciudalm@aces-andalucia.org;36,83938270663643;-2,4511991313761427;548932,8718;4077195,325;BIL ING;;;;;;;
22;04000213;12;Colegio de Educación Infantil y Primaria;Velázquez;Público;C/ Buenavista, s/n;Albox;04006;Albox;Almería;04800;950639913;04000213.edu@juntadeandalucia.es;37,39228880892371;-2,1414756774902343;575994,6502;4138737,453;BIL ING;BIL ING;;;;;;
22;04000225;12;Colegio de Educación Infantil y Primaria;Virgen del Saliente;Público;Pago Aljara, s/n;Albox;04006;Albox;Almería;04800;950639544;04000225.edu@juntadeandalucia.es;37,39191375105401;-2,1451663970947266;575668,3265;4138692,876;BIL ING;BIL ING;;;;;;
22;04000250;34;Instituto de Educación Secundaria;Cardenal Cisneros;Público;Avda. de América, s/n;Albox;04006;Albox;Almería;04800;950639900;04000250.edu@juntadeandalucia.es;37,384135295;-2,141230226;576024,6108;4137833,069;;;PLURIL FRA/ING;PLURIL FRA/ING;;BIL ING;;
22;04000341;34;Instituto de Educación Secundaria;Las Marinas;Público;C/ Coimbra, 1;Las Marinas;04079;Roquetas de Mar;Almería;04740;671530647;04000341.edu@juntadeandalucia.es;36,72806570062084;-2,6394030853681442;532198,4519;4064767,1;;;BIL ING;;;;;
22;04000365;12;Colegio de Educación Infantil y Primaria;Juan XXIII;Público;C/ Calvario, 1;Alhabia;04010;Alhabia;Almería;04567;950156857;04000365.edu@juntadeandalucia.es;36,990659749163676;-2,5874311604768536;536713,3308;4093915,759;BIL ING;BIL ING;BIL ING;;;;;
22;04000377;12;Colegio de Educación Infantil y Primaria;Inmaculada Concepción;Público;C/ Alcalde Juan Martínez Rodríguez, s/n;Alhama de Almería;04011;Alhama de Almería;Almería;04400;950156859;04000377.edu@juntadeandalucia.es;36,9608424484283;-2,5711401595553353;538177,9201;4090614,421;BIL ING;BIL ING;;;;;;
22;04000432;20;Centro Docente Privado;La Milagrosa;Privado;C/ Alcalde Muñoz, 18;Almería;04013;Almería;Almería;04004;950231108;colegiolamilagrosa@cevlamilagrosaalmeriaesur.es;36,84207381614425;-2,4610233306884765;548055,223;4077488,869;BIL ING;BIL ING;;;;;;
22;04000456;20;Centro Docente Privado;Divina Infantita;Privado;C/ Calzada de Castro, 56;Almería;04013;Almería;Almería;04006;950268392;secretaria@einalmeria.org;36,8380897183971;-2,448674440383911;549158,811;4077053,188;BIL ING;BIL ING;BIL ING;;;;;
22;04000468;20;Centro Docente Privado;Nuestra Señora de Fátima;Privado;C/ Briviesca, 1;Almería;04013;Almería;Almería;04007;950244258;04000468.edu@juntadeandalucia.es;36,83129738362264;-2,450155019760132;549031,1294;4076298,943;BIL ING;BIL ING;;;;;;
22;04000471;20;Centro Docente Privado;El Arcángel;Privado;C/ Hermanos Pinzón, 61;Almería;04013;Almería;Almería;04005;950269780;04000471.edu@juntadeandalucia.es;36,84179573196989;-2,454641505014383;548624,4082;4077461,249;BIL ING;BIL ING;;;;;;
22;04000493;20;Centro Docente Privado;Stella Maris;Privado;Avda. Federico García Lorca, 22;Almería;04013;Almería;Almería;04004;950250388;direccion@jesuitinas-stella.es;36,83695366807377;-2,460559961006993;548099,7438;4076921,116;BIL ING;BIL ING;BIL ING;;;;;
22;04000511;20;Centro Docente Privado;María Inmaculada;Privado;C/ Infanta, 2;Almería;04013;Almería;Almería;04001;950238389;cesmi@planalfa.es;36,838830058;-2,46573787;547636,8825;4077126,673;;;BIL ING;;;;;
22;04000560;20;Centro Docente Privado;Compañía de María;Privado;Rbla.  Obispo Orbera, 35;Almería;04013;Almería;Almería;04001;950235422;titularidad@ciamariaalmeria.org;36,840153699465084;-2,4607131093231213;548084,0847;4077276,023;PLURIL ING/FRA;PLURIL ING/FRA;PLURIL ING/FRA;;;;;
22;04000572;20;Centro Docente Privado;San Francisco;Privado;Plaza Inmaculada, 1;Almería;04013;Almería;Almería;04003;950257230;direccionacademica@franciscanos-almeria.com;36,84503566402858;-2,4635281540319056;547830,046;4077816,175;BIL ING;BIL ING;;;;;;
22;04000584;20;Centro Docente Privado;Amor de Dios;Privado;C/ Cordoneros, 22;Almería;04013;Almería;Almería;04002;950238694;direccion@amordiosal.com;36,838776646609254;-2,4786293506622314;546487,4513;4077114,399;;BIL ING;;;;;;
22;04000602;20;Centro Docente Privado;Nuestra Señora del Milagro;Privado;Plaza Virgen del Mar, 2;Almería;04013;Almería;Almería;04002;950233500;elmilagrosra@hotmail.com;36,83761855878312;-2,464682137454801;547731,7694;4076992,806;BIL ING;BIL ING;BIL ING;;;;;
22;04000614;20;Centro Docente Privado;Virgen del Mar;Privado;Avda. Mediterráneo, 73. Ciudad Jardín;Almería;04013;Almería;Almería;04007;950274104;vmar@cece.es;36,8302452346945;-2,446426473660722;549364,2927;4076184,145;BIL ING;BIL ING;;;;;;
22;04000699;34;Instituto de Educación Secundaria;Alhamilla;Público;Avda. Federico García Lorca, 130;Almería;04013;Almería;Almería;04005;950156100;04000699.edu@juntadeandalucia.es;36,84268278596958;-2,457191480763171;548396,4903;4077558,357;;;BIL ING;BIL ING;;;;
22;04000857;12;Colegio de Educación Infantil y Primaria;Europa José Ramos Santander;Público;Avda. Madre María Aznar, 272;Almería;04013;Almería;Almería;04009;950156697;04000857.edu@juntadeandalucia.es;36,85963485881783;-2,4439430236816406;549566,7795;4079445,676;BIL ING;BIL ING;;;;;;
22;04000870;12;Colegio de Educación Infantil y Primaria;Lope de Vega;Público;C/ Chile, 42;Almería;04013;Almería;Almería;04007;950156924;04000870.edu.@juntadeandalucia.es;36,83275399784302;-2,4524680055974386;548823,9469;4076459,343;BIL ING;BIL ING;;;;;;
22;04000951;20;Centro Docente Privado;La Salle-Chocillas;Privado;Ctra. Alhadra, 205;Almería;04013;Almería;Almería;04009;950149976;04000951.edu@juntadeandalucia.es;36,851455025;-2,439403299;549976,7784;4078540,636;;BIL ING;;;;;;
22;04000961;20;Centro Docente Privado;Juan Pablo II Mater Asunta;Privado;Paseo San Luis, 6;Almería;04013;Almería;Almería;04002;950235170;secretaria@juanpablosegundoalmeria.es;36,836510435719695;-2,467678855056988;547465,2487;4076868,388;BIL ING;BIL ING;;;;;;
22;04000973;12;Colegio de Educación Infantil y Primaria;Freinet;Público;Ctra. de Ronda, 100;Almería;04013;Almería;Almería;04006;950156136;04000973.edu@juntadeandalucia.es;36,83878523317288;-2,454714775085449;548619,7811;4077127,252;BIL ING;BIL ING;;;;;;
